date,AQI,quality,PM2.5,PM10,SO2,CO,NO2,O3_8h
2018-10-29,31,”≈,5,20,2,0.3,21,62
2018-10-30,49,”≈,11,33,3,0.4,39,65
2018-10-31,62,¡º,23,51,4,0.8,49,45
2018-11-01,80,¡º,51,77,6,0.9,64,58
2018-11-02,152,÷–∂»Œ€»æ,116,126,8,1.5,96,31
2018-11-03,211,÷ÿ∂»Œ€»æ,161,148,8,1.7,89,81
2018-11-04,102,«·∂»Œ€»æ,76,69,3,0.8,48,23
2018-11-05,47,”≈,20,27,2,0.5,37,30
2018-11-06,50,”≈,14,31,3,0.5,40,40
2018-11-07,65,¡º,28,55,4,0.7,52,16
2018-11-08,94,¡º,70,101,6,1.2,73,14
2018-11-09,54,¡º,31,58,3,0.6,41,61
2018-11-10,50,”≈,13,38,3,0.4,40,37
2018-11-11,72,¡º,46,80,5,0.7,57,49
2018-11-12,132,«·∂»Œ€»æ,100,119,7,1.2,75,33
2018-11-13,230,÷ÿ∂»Œ€»æ,180,159,6,1.7,78,33
2018-11-14,270,÷ÿ∂»Œ€»æ,220,164,4,2.2,75,37
2018-11-15,84,¡º,62,57,3,0.8,32,52
2018-11-16,39,”≈,14,28,3,0.4,31,52
2018-11-17,78,¡º,44,76,7,0.8,62,24
2018-11-18,64,¡º,30,77,5,0.7,42,63
2018-11-19,83,¡º,47,92,10,1.1,66,17
2018-11-20,69,¡º,40,87,6,0.8,54,50
2018-11-21,49,”≈,21,49,4,0.5,35,55
2018-11-22,68,¡º,28,64,6,0.7,54,37
2018-11-23,93,¡º,69,98,13,1.4,66,13
2018-11-24,123,«·∂»Œ€»æ,93,106,9,1.2,63,46
2018-11-25,119,«·∂»Œ€»æ,90,112,8,1.4,73,24
2018-11-26,266,÷ÿ∂»Œ€»æ,216,231,11,2.4,105,15
2018-11-27,163,÷–∂»Œ€»æ,50,275,3,0.5,31,61
2018-11-28,116,«·∂»Œ€»æ,56,181,15,1.3,68,12
2018-11-29,101,«·∂»Œ€»æ,58,152,14,1.6,65,17
2018-11-30,123,«·∂»Œ€»æ,93,184,12,1.9,83,16
2018-12-01,175,÷–∂»Œ€»æ,132,199,10,2,82,30
2018-12-02,232,÷ÿ∂»Œ€»æ,182,227,7,2.6,85,5
2018-12-03,0,Œﬁ,0,0,3,0.5,21,57
2018-12-04,61,¡º,14,71,3,0.4,25,58
2018-12-05,77,¡º,39,103,10,1.1,59,8
2018-12-06,37,”≈,9,37,3,0.4,15,54
2018-12-07,38,”≈,6,38,3,0.3,12,56
2018-12-08,36,”≈,11,36,3,0.3,22,60
2018-12-09,73,¡º,41,71,9,0.9,58,26
2018-12-10,83,¡º,58,89,12,1.1,66,18
2018-12-11,52,¡º,21,54,6,0.6,32,52
2018-12-12,73,¡º,31,64,7,0.8,58,31
2018-12-13,49,”≈,13,40,5,0.5,39,58
2018-12-14,83,¡º,48,76,11,1,66,23
2018-12-15,120,«·∂»Œ€»æ,91,116,14,1.5,85,12
2018-12-16,88,¡º,65,107,8,1.2,59,54
2018-12-17,57,¡º,25,53,6,0.6,45,53
2018-12-18,67,¡º,27,58,6,0.8,53,53
2018-12-19,78,¡º,34,72,8,1,62,25
2018-12-20,93,¡º,51,93,11,1.2,74,10
2018-12-21,94,¡º,70,117,12,1.3,70,43
2018-12-22,66,¡º,34,82,7,0.8,41,53
2018-12-23,52,¡º,13,53,3,0.4,22,58
2018-12-24,78,¡º,51,93,10,1,62,19
2018-12-25,58,¡º,27,66,7,0.7,35,55
2018-12-26,33,”≈,9,26,4,0.4,26,50
2018-12-27,51,¡º,7,52,4,0.3,10,54
2018-12-28,39,”≈,9,39,4,0.4,19,50
2018-12-29,33,”≈,10,28,5,0.4,26,52
2018-12-30,47,”≈,15,32,4,0.5,37,42
2018-12-31,70,¡º,38,59,10,0.9,56,20
2019-01-01,45,”≈,28,45,8,0.7,34,47
2019-01-02,78,¡º,57,75,12,1,56,28
2019-01-03,162,÷–∂»Œ€»æ,123,136,21,1.9,82,12
2019-01-04,40,”≈,18,40,5,0.5,26,61
2019-01-05,47,”≈,17,34,7,0.5,37,49
2019-01-06,88,¡º,64,95,12,1.4,70,13
2019-01-07,55,¡º,34,54,9,0.9,44,52
2019-01-08,35,”≈,10,29,4,0.5,28,62
2019-01-09,74,¡º,41,66,12,0.9,59,26
2019-01-10,100,¡º,75,113,14,1.5,79,17
2019-01-11,135,«·∂»Œ€»æ,103,130,15,1.7,80,21
2019-01-12,267,÷ÿ∂»Œ€»æ,217,212,14,2.7,101,14
2019-01-13,169,÷–∂»Œ€»æ,128,183,6,1.7,64,58
2019-01-14,137,«·∂»Œ€»æ,104,143,8,1.7,72,46
2019-01-15,54,¡º,9,57,4,0.3,18,61
2019-01-16,73,¡º,38,74,10,0.9,58,37
2019-01-17,78,¡º,45,77,13,1.2,62,34
2019-01-18,94,¡º,64,105,15,1.4,75,18
2019-01-19,33,”≈,11,33,5,0.5,24,59
2019-01-20,33,”≈,9,29,3,0.3,19,66
2019-01-21,57,¡º,24,63,6,0.6,44,62
2019-01-22,64,¡º,28,70,7,0.9,51,54
2019-01-23,60,¡º,23,53,6,0.7,48,56
2019-01-24,79,¡º,58,75,12,1.2,53,41
2019-01-25,32,”≈,10,32,4,0.5,21,61
2019-01-26,44,”≈,25,40,5,0.6,35,50
2019-01-27,76,¡º,49,102,9,1,45,67
2019-01-28,56,¡º,35,61,6,0.6,33,59
2019-01-29,139,«·∂»Œ€»æ,106,140,17,1.5,76,24
2019-01-30,63,¡º,28,75,5,0.6,22,61
2019-01-31,30,”≈,13,27,5,0.5,20,59
2019-02-01,68,¡º,42,85,7,0.9,49,54
2019-02-02,142,«·∂»Œ€»æ,108,137,8,1.4,55,29
2019-02-03,104,«·∂»Œ€»æ,40,157,3,0.4,14,77
2019-02-04,78,¡º,46,106,6,0.8,27,58
2019-02-05,139,«·∂»Œ€»æ,97,227,10,0.9,26,49
2019-02-06,78,¡º,53,105,14,1.1,22,57
2019-02-07,35,”≈,8,29,3,0.4,11,69
2019-02-08,46,”≈,25,46,6,0.5,18,64
2019-02-09,32,”≈,9,21,4,0.3,13,63
2019-02-10,39,”≈,27,39,6,0.5,24,52
2019-02-11,51,¡º,35,51,8,0.7,30,67
2019-02-12,52,¡º,30,54,7,0.8,25,52
2019-02-13,38,”≈,23,38,3,0.6,23,69
2019-02-14,72,¡º,52,60,5,0.9,32,47
2019-02-15,35,”≈,8,21,3,0.3,10,70
2019-02-16,38,”≈,8,19,3,0.3,13,75
2019-02-17,36,”≈,14,25,4,0.4,25,71
2019-02-18,59,¡º,31,42,7,0.7,47,45
2019-02-19,118,«·∂»Œ€»æ,89,89,5,1,37,67
